City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Eyl,SO,7.9803,49.8164,75.79,66,64,23.6,broken clouds
264,Tessalit,ML,20.1986,1.0114,79.99,9,4,10.94,clear sky
265,Sao Filipe,CV,14.8961,-24.4956,73.04,66,100,9.71,overcast clouds
266,Mareeba,AU,-17.0,145.4333,73.44,96,100,5.55,moderate rain
267,Egvekinot,RU,66.3167,-179.1667,-3.44,92,37,4.34,scattered clouds
268,Dudinka,RU,69.4058,86.1778,4.62,92,100,22.55,overcast clouds
269,Civitavecchia,IT,42.0933,11.7967,58.64,75,92,5.97,overcast clouds
270,Hasaki,JP,35.7333,140.8333,32.4,52,99,11.74,overcast clouds
271,Merauke,ID,-8.4667,140.3333,81.7,83,100,11.61,overcast clouds
272,Krasnyy Chikoy,RU,50.3643,108.7512,-14.75,100,60,0.69,broken clouds
273,Okha,RU,53.5739,142.9478,-17.16,97,16,8.63,few clouds
274,Lima,PE,-12.0432,-77.0282,71.85,68,0,9.22,clear sky
275,Faya,SA,18.3851,42.4509,60.91,59,2,6.82,clear sky
276,Itoman,JP,26.1247,127.6694,66.22,72,75,6.91,broken clouds
277,Mayma,RU,52.0197,85.9114,-0.11,93,17,5.55,few clouds
278,Juneau,US,58.3019,-134.4197,42.22,94,100,4.0,light rain
279,Emborion,GR,40.4833,21.55,44.96,72,10,6.15,clear sky
280,Cuiluan,CN,47.72,128.648,-9.38,98,46,4.97,scattered clouds
281,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,72,0,16.11,clear sky
282,Loikaw,MM,19.6742,97.2094,60.26,56,19,3.96,few clouds
283,Bokhan,RU,53.153,103.7714,-15.38,100,95,2.15,overcast clouds
284,Kasongo-Lunda,CD,-6.4667,16.8167,86.88,52,99,4.25,overcast clouds
285,Ampanihy,MG,-24.7,44.75,90.36,32,0,13.42,clear sky
286,Najran,SA,17.4924,44.1277,70.45,13,0,11.72,clear sky
287,Bonfim,BR,3.0833,-59.95,89.1,42,7,8.75,clear sky
288,Independencia,BR,-5.3964,-40.3086,81.73,61,99,3.89,overcast clouds
289,Dabat,ET,12.9842,37.765,63.23,41,36,8.79,scattered clouds
290,Hamilton,US,39.1834,-84.5333,31.12,90,100,1.99,mist
291,Sabha,LY,27.0377,14.4283,57.15,29,100,6.87,overcast clouds
292,Loukhi,RU,66.0764,33.0381,7.72,98,96,2.55,overcast clouds
293,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,100,12.66,overcast clouds
294,Khotynets,RU,53.1286,35.3966,29.73,97,99,9.64,light snow
295,Puerto Colombia,CO,10.9878,-74.9547,82.49,66,7,9.73,clear sky
296,Boende,CD,-0.2167,20.8667,92.01,34,100,2.91,overcast clouds
297,Dalby,AU,-27.1833,151.2667,67.98,85,0,1.01,clear sky
298,Bontang,ID,0.1333,117.5,74.97,90,99,3.74,overcast clouds
299,Poya,NC,-21.35,165.15,76.69,89,100,7.09,heavy intensity rain
300,Barreirinhas,BR,-2.7469,-42.8264,74.61,90,100,7.76,overcast clouds
301,Gorlice,PL,49.6556,21.1604,37.27,98,100,14.79,light snow
302,Aripuana,BR,-9.1667,-60.6333,82.8,71,99,4.05,overcast clouds
303,Lazaro Cardenas,MX,17.9583,-102.2,75.79,69,87,3.4,overcast clouds
304,Honiton,GB,50.7996,-3.189,50.86,88,75,1.99,broken clouds
305,Pasighat,IN,28.0667,95.3333,54.63,72,0,4.94,clear sky
306,Abong Mbang,CM,3.9833,13.1833,94.86,13,27,4.52,scattered clouds
307,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,11.5,few clouds
308,Myitkyina,MM,25.3833,97.4,55.8,93,1,2.57,clear sky
309,Dorado,PR,18.4588,-66.2677,83.03,74,40,11.5,scattered clouds
310,Cabinda,AO,-5.55,12.2,84.34,79,20,6.91,few clouds
311,Tasiilaq,GL,65.6145,-37.6368,17.76,64,1,7.4,clear sky
312,Iqaluit,CA,63.7506,-68.5145,-4.27,76,75,0.0,light snow
313,Moron,AR,-34.6534,-58.6198,75.09,55,2,5.91,clear sky
314,Neiafu,TO,-18.65,-173.9833,82.78,76,79,21.41,light rain
315,Soyo,AO,-6.1349,12.3689,84.25,72,100,11.03,overcast clouds
316,Jabinyanah,TN,35.035,10.9081,62.4,39,0,5.77,clear sky
317,Yuanping,CN,38.7153,112.7575,29.1,42,100,1.97,overcast clouds
318,Hami,CN,42.8,93.45,25.11,46,0,3.22,clear sky
319,Tigzirt,DZ,36.8886,4.1198,57.54,55,1,4.59,clear sky
320,Riverbank,US,37.736,-120.9355,51.19,100,0,0.0,mist
321,Cape Canaveral,US,28.4058,-80.6048,62.67,97,100,10.36,overcast clouds
322,Haines Junction,CA,60.7522,-137.5108,21.15,73,100,4.61,overcast clouds
323,Grevena,GR,40.0845,21.4274,49.39,58,19,2.93,few clouds
324,Klaksvik,FO,62.2266,-6.589,49.12,92,100,35.39,overcast clouds
325,Kuli,RU,42.0185,47.2434,23.34,81,17,7.2,few clouds
326,Vila Velha,BR,-20.3297,-40.2925,91.35,61,40,10.0,scattered clouds
327,Manokwari,ID,-0.8667,134.0833,78.66,81,86,3.67,overcast clouds
328,Kortkeros,RU,61.8106,51.5806,12.2,94,100,7.0,overcast clouds
329,Gizo,SB,-8.103,156.8419,80.4,76,100,7.07,overcast clouds
330,Bathsheba,BB,13.2167,-59.5167,74.01,78,75,12.66,broken clouds
331,Vanavara,RU,60.34,102.2797,-14.33,100,87,3.02,overcast clouds
332,Molteno,ZA,-31.3968,26.3625,72.55,55,73,22.06,broken clouds
333,Ilulissat,GL,69.2167,-51.1,15.82,48,75,33.38,broken clouds
334,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,68,70,9.46,broken clouds
335,Marzuq,YE,14.4,46.4667,74.64,25,89,7.29,overcast clouds
336,Airai,TL,-8.9266,125.4092,60.44,93,100,3.24,overcast clouds
337,Nome,US,64.5011,-165.4064,-18.33,76,0,0.0,clear sky
338,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,25.32,mist
339,Lagos,NG,6.5833,3.75,97.12,19,95,8.19,overcast clouds
340,Yanam,IN,16.7333,82.2167,69.33,86,10,4.34,clear sky
341,Marienburg,PL,54.0359,19.0266,35.85,69,100,20.13,overcast clouds
342,Vostok,RU,46.4856,135.8833,-2.16,97,100,6.06,overcast clouds
343,Shah Alam,MY,3.0851,101.5328,77.7,87,20,0.0,few clouds
344,Porto Belo,BR,-27.1578,-48.5531,72.97,91,100,14.14,overcast clouds
345,Koulamoutou,GA,-1.1303,12.4736,86.95,51,78,3.15,broken clouds
346,Pindiga,NG,9.9833,10.9333,79.9,16,93,10.45,overcast clouds
347,Saint-Louis,SN,16.3333,-15.0,87.44,14,38,8.01,scattered clouds
348,Bubaque,GW,11.2833,-15.8333,79.05,42,95,1.74,overcast clouds
349,Huilong,CN,31.8111,121.655,39.92,80,100,10.11,light rain
