City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,Conceicao Do Mato Dentro,BR,83.25,overcast clouds,-19.0372,-43.425,Hotel Vista Inn
122,Vaini,TO,82.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
124,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
129,Ca Mau,VN,75.27,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
137,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Loandjili,CG,82.62,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
139,Kavieng,PG,82.51,light rain,-2.5744,150.7967,Nusa Island Retreat
140,Nabire,ID,77.43,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
145,Pundaguitan,PH,81.1,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
146,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
147,Yaring,TH,77.34,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
149,Cockburn Town,TC,77.85,few clouds,21.4612,-71.1419,Osprey Beach Hotel
152,Berbera,SO,76.98,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
156,Basco,PH,78.53,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
157,Jacareacanga,BR,75.04,light rain,-6.2222,-57.7528,Casa do Ian😎
168,Yurimaguas,PE,84.36,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
170,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
172,Geraldton,AU,75.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
174,Vao,NC,78.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
175,Labuan,MY,77.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
176,Nambour,AU,76.87,scattered clouds,-26.6333,152.95,Nambour Lodge Motel
179,Sarangani,PH,81.93,broken clouds,5.4033,125.4636,Ballistic Islet
180,Katsina,NG,82.18,few clouds,12.9894,7.6006,Katsina Motel
182,Hambantota,LK,78.58,scattered clouds,6.1241,81.1185,Bungalow 63
194,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
201,Kalmunai,LK,78.06,broken clouds,7.4167,81.8167,VS Villa
204,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
206,Labuhan,ID,78.71,light rain,-6.8844,112.2051,DoubleFAG
210,Kongolo,CD,79.56,moderate rain,-5.3833,27.0,GUEST HOUSE OASIS
213,Trairi,BR,75.92,light rain,-3.2778,-39.2689,janelas do mar
223,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
233,Huambo,AO,75.0,broken clouds,-12.7761,15.7392,SiSHotel
237,Eraniel,IN,83.55,scattered clouds,8.2,77.3,Hotel sharjah
238,Dingle,PH,76.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Itambe,BR,84.7,broken clouds,-15.245,-40.6244,Pousada San Remo
251,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
255,Kaduqli,SD,83.03,broken clouds,11.0167,29.7167,فندق الله جابو
259,Bani,DO,83.64,clear sky,18.2833,-70.3333,Hospedaje Henriquez
263,Eyl,SO,75.79,broken clouds,7.9803,49.8164,Amiin Hotel
288,Independencia,BR,81.73,overcast clouds,-5.3964,-40.3086,Pousada Santa Cruz
293,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
295,Puerto Colombia,CO,82.49,clear sky,10.9878,-74.9547,Hotel El Emigrante
303,Lazaro Cardenas,MX,75.79,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
309,Dorado,PR,83.03,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
310,Cabinda,AO,84.34,few clouds,-5.55,12.2,Hotel Maiombe
313,Moron,AR,75.09,clear sky,-34.6534,-58.6198,Hotel Morón
314,Neiafu,TO,82.78,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
315,Soyo,AO,84.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
327,Manokwari,ID,78.66,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
329,Gizo,SB,80.4,overcast clouds,-8.103,156.8419,Imagination Island
343,Shah Alam,MY,77.7,few clouds,3.0851,101.5328,Concorde Hotel Shah Alam
346,Pindiga,NG,79.9,overcast clouds,9.9833,10.9333,Accommodation Center
348,Bubaque,GW,79.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Samarai,PG,80.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
351,Caaguazu,PY,82.29,overcast clouds,-25.45,-56.0167,Hotel El Farol
370,Karratha,AU,80.37,clear sky,-20.7377,116.8463,ibis Styles Karratha
372,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
377,Kandrian,PG,78.89,light rain,-6.2167,149.55,Kandrian Station
378,Ugoofaaru,MV,81.59,few clouds,5.6667,73.0,Ungoofaaru Inn
381,Bowen,AU,77.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
386,Auki,SB,77.74,heavy intensity rain,-8.7676,160.7034,Auki Motel
387,Mackay,AU,78.78,overcast clouds,-21.15,149.2,International Lodge Motel
389,Karaton,ID,79.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
403,Sorong,ID,81.37,broken clouds,-0.8833,131.25,Waigo Splash Hotel
404,Le Port,RE,80.6,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
408,Itaituba,BR,80.76,moderate rain,-4.2761,-55.9836,Hotel Campos
409,Aragarcas,BR,84.85,broken clouds,-15.8975,-52.2508,Hotel Pousada Tropical
410,Finschhafen,PG,80.58,overcast clouds,-6.6024,147.8681,Cossam Guest House
413,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
414,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
416,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
426,Boyolangu,ID,76.57,overcast clouds,-8.1181,111.8935,Yos ega cv
428,Pak Phanang,TH,78.94,broken clouds,8.3511,100.202,Green Park Inn Hotel
435,Coihaique,CL,77.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
437,Vilhena,BR,80.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
440,Cabadiangan,PH,78.73,overcast clouds,9.7531,122.4739,Kipot
442,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
443,Cururupu,BR,76.64,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
453,Kieta,PG,79.27,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
