City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
37,Tiksi,RU,2022-01-26 18:10:45,71.6872,128.8694,-2.2,90,51,18.57
38,Conakry,GN,2022-01-26 18:06:27,9.538,-13.6773,87.37,67,95,13.13
39,Grindavik,IS,2022-01-26 18:10:46,63.8424,-22.4338,30.67,93,75,11.5
40,Los Llanos De Aridane,ES,2022-01-26 18:10:46,28.6585,-17.9182,60.55,68,40,1.99
41,Coihaique,CL,2022-01-26 18:10:46,-45.5752,-72.0662,75.81,31,0,10.36
42,Rio Brilhante,BR,2022-01-26 18:09:26,-21.8019,-54.5464,94.01,41,85,7.09
43,Mazagao,BR,2022-01-26 18:10:47,-0.115,-51.2894,80.65,76,100,4.41
44,Georgetown,MY,2022-01-26 18:06:12,5.4112,100.3354,84.13,79,20,0.0
45,Khuzhir,RU,2022-01-26 18:10:47,53.1939,107.3397,3.94,92,96,2.24
46,Port Blair,IN,2022-01-26 18:10:47,11.6667,92.75,78.13,74,25,8.3
47,East London,ZA,2022-01-26 18:10:47,-33.0153,27.9116,74.34,94,75,8.05
48,Severo-Kurilsk,RU,2022-01-26 18:10:48,50.6789,156.125,25.39,75,81,17.56
49,Warmbad,NA,2022-01-26 18:11:48,-28.45,18.7333,95.95,17,8,15.17
50,Oistins,BB,2022-01-26 18:09:04,13.0667,-59.5333,84.29,61,20,12.66
51,Jamestown,US,2022-01-26 18:10:02,42.097,-79.2353,18.72,59,100,3.0
52,Tura,IN,2022-01-26 18:11:48,25.5198,90.2201,55.22,89,76,2.73
53,Katsuura,JP,2022-01-26 18:11:49,35.1333,140.3,42.19,77,37,5.35
54,Port Elizabeth,ZA,2022-01-26 18:11:49,-33.918,25.5701,70.11,73,100,8.05
55,Bretzfeld,DE,2022-01-26 18:11:49,49.1794,9.4383,34.07,84,82,5.1
56,Soavinandriana,MG,2022-01-26 18:11:50,-19.1667,46.7333,61.63,82,77,3.87
57,Thompson,CA,2022-01-26 18:10:28,55.7435,-97.8558,9.37,86,99,13.98
58,Victoria,HK,2022-01-26 18:08:51,22.2855,114.1577,67.24,92,97,8.99
59,Eagle Pass,US,2022-01-26 18:11:50,28.7091,-100.4995,56.26,66,100,11.5
